root,creation_phase,mechanics,early_after,late_after,after_equal,early_last,late_last,last_equal,early_dead,late_dead,dead_equal,early_future_work,late_future_work,work_equal,early_trace_hash,late_trace_hash,quiescent,replay_equal,mechanics_equal
4500000,5,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,30c892dc714f412178ce4a2d4d1be7d113696926e6c126e418328e08c1000001,78fe98efc35220752d525820c06e750efd020feb7a24824ded7b569dc7046f6f,1,1,1
4500000,5,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,30c892dc714f412178ce4a2d4d1be7d113696926e6c126e418328e08c1000001,78fe98efc35220752d525820c06e750efd020feb7a24824ded7b569dc7046f6f,1,1,1
4500000,6,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,7c4535e73754ee1cd0772d3d453f9b2a28f790451599abd3072e5f44b3019612,a747a5901b29f3c2bd22598f9ebed6e3719b38ead88ca8e7b423bd25442e5be8,1,1,1
4500000,6,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,7c4535e73754ee1cd0772d3d453f9b2a28f790451599abd3072e5f44b3019612,a747a5901b29f3c2bd22598f9ebed6e3719b38ead88ca8e7b423bd25442e5be8,1,1,1
4500000,7,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,3825063e49d805e47a0d2ba6ddff8b0fdd68f5be72380a2289cdecbccd2be1ef,3f3796a7f785631edd36446973d062f1eaf885d8731cc87574f40d941b75eb4a,1,1,1
4500000,7,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,3825063e49d805e47a0d2ba6ddff8b0fdd68f5be72380a2289cdecbccd2be1ef,3f3796a7f785631edd36446973d062f1eaf885d8731cc87574f40d941b75eb4a,1,1,1
4500000,8,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,a177bfb1324ce58b2a7ab9de2158e48e0d54c55721447afa643bf94ee62e9855,1,1,1
4500000,8,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,a177bfb1324ce58b2a7ab9de2158e48e0d54c55721447afa643bf94ee62e9855,1,1,1
4500000,9,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,ddeb8e552d8a132d1ba550a315130027bf14590c5ab036f49c1d87e4114d703c,1,1,1
4500000,9,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,ddeb8e552d8a132d1ba550a315130027bf14590c5ab036f49c1d87e4114d703c,1,1,1
4600000,0,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,b3928cfcf22e3fd72e0935a9bcda99a551641a2e2671ec6de2561359727acd59,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,1,1,1
4600000,0,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,b3928cfcf22e3fd72e0935a9bcda99a551641a2e2671ec6de2561359727acd59,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,1,1,1
4600000,1,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,fa0d3690667c5b8b082c06f1ba8290bc7b1452d1f9b11df780dbac54dea48c79,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,1,1,1
4600000,1,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,fa0d3690667c5b8b082c06f1ba8290bc7b1452d1f9b11df780dbac54dea48c79,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,1,1,1
4600000,2,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,edd6053da65c93f4330bb14be34092010fca90bf4c5f546cd75be8dda4676920,d1093bb68e202063e1743aaabd36252f3dc755a134fc59aa0c5852e4bdab9536,1,1,1
4600000,2,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,edd6053da65c93f4330bb14be34092010fca90bf4c5f546cd75be8dda4676920,d1093bb68e202063e1743aaabd36252f3dc755a134fc59aa0c5852e4bdab9536,1,1,1
4600000,3,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,5109a9326be2b3be322ab0ca8a77b261bc6cd261da02c836f9a183657ec2323d,cf003a542ca9630f4c897170eb686bb921c5d10c649b76779afe31b7e9892324,1,1,1
4600000,3,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,5109a9326be2b3be322ab0ca8a77b261bc6cd261da02c836f9a183657ec2323d,cf003a542ca9630f4c897170eb686bb921c5d10c649b76779afe31b7e9892324,1,1,1
4600000,4,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,ce07186bd56bc945f9dd11d38dc3a6e36e358c5d9be5d6cbfa5a865cac847cc3,eae2f3e1cae25b503fdbb837dc6c943436ffcf18421ec5ef21f19314ef296f56,1,1,1
4600000,4,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,ce07186bd56bc945f9dd11d38dc3a6e36e358c5d9be5d6cbfa5a865cac847cc3,eae2f3e1cae25b503fdbb837dc6c943436ffcf18421ec5ef21f19314ef296f56,1,1,1
4600000,5,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,30c892dc714f412178ce4a2d4d1be7d113696926e6c126e418328e08c1000001,78fe98efc35220752d525820c06e750efd020feb7a24824ded7b569dc7046f6f,1,1,1
4600000,5,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,30c892dc714f412178ce4a2d4d1be7d113696926e6c126e418328e08c1000001,78fe98efc35220752d525820c06e750efd020feb7a24824ded7b569dc7046f6f,1,1,1
4600000,6,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,7c4535e73754ee1cd0772d3d453f9b2a28f790451599abd3072e5f44b3019612,a747a5901b29f3c2bd22598f9ebed6e3719b38ead88ca8e7b423bd25442e5be8,1,1,1
4600000,6,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,7c4535e73754ee1cd0772d3d453f9b2a28f790451599abd3072e5f44b3019612,a747a5901b29f3c2bd22598f9ebed6e3719b38ead88ca8e7b423bd25442e5be8,1,1,1
4600000,7,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,3825063e49d805e47a0d2ba6ddff8b0fdd68f5be72380a2289cdecbccd2be1ef,3f3796a7f785631edd36446973d062f1eaf885d8731cc87574f40d941b75eb4a,1,1,1
4600000,7,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,3825063e49d805e47a0d2ba6ddff8b0fdd68f5be72380a2289cdecbccd2be1ef,3f3796a7f785631edd36446973d062f1eaf885d8731cc87574f40d941b75eb4a,1,1,1
4600000,8,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,a177bfb1324ce58b2a7ab9de2158e48e0d54c55721447afa643bf94ee62e9855,1,1,1
4600000,8,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,ba7157e89d7ada5d6e774bd2dfaa36ed9ffee7007b63e6f0ee1e124e34188993,a177bfb1324ce58b2a7ab9de2158e48e0d54c55721447afa643bf94ee62e9855,1,1,1
4600000,9,reference,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,ddeb8e552d8a132d1ba550a315130027bf14590c5ab036f49c1d87e4114d703c,1,1,1
4600000,9,production,1/4/0/4294967296/4294967296/1,1/4/0/4294967296/4294967296/1,1,1/1/9/346608838/4294967296/1,1/1/9/346608838/4294967296/1,1,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,ddeb8e552d8a132d1ba550a315130027bf14590c5ab036f49c1d87e4114d703c,1,1,1
