case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_updates,cell_deallocations,physical_work,trace_len,crossings,final_tick,naturally_quiescent,body_hash,markers
33,unqualified_and_wrong_cell_modulation,7300000,5,production,true,true,true,,0,0,4,7,0,7,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
34,late_modulation_after_relaxation,7300000,5,reference,true,true,true,,0,0,4,7,0,1006,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
34,late_modulation_after_relaxation,7300000,5,production,true,true,true,,0,0,4,7,0,1006,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
35,two_participating_cells_local_consequence,7300000,5,reference,true,true,true,,1,0,6,10,0,7,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
35,two_participating_cells_local_consequence,7300000,5,production,true,true,true,,1,0,6,10,0,7,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
36,repeated_support_and_eventual_decay,7300000,5,reference,true,true,true,,2,1,11,17,0,80,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
36,repeated_support_and_eventual_decay,7300000,5,production,true,true,true,,2,1,11,17,0,80,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
37,participation_plus_local_modulation,7300000,6,reference,true,true,true,,1,1,6,9,0,48,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
37,participation_plus_local_modulation,7300000,6,production,true,true,true,,1,1,6,9,0,48,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
38,repeated_use_without_modulation,7300000,6,reference,true,true,true,,0,1,11,21,0,16,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
38,repeated_use_without_modulation,7300000,6,production,true,true,true,,0,1,11,21,0,16,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
39,unqualified_and_wrong_cell_modulation,7300000,6,reference,true,true,true,,0,0,4,7,0,8,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
39,unqualified_and_wrong_cell_modulation,7300000,6,production,true,true,true,,0,0,4,7,0,8,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
40,late_modulation_after_relaxation,7300000,6,reference,true,true,true,,0,0,4,7,0,1007,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
40,late_modulation_after_relaxation,7300000,6,production,true,true,true,,0,0,4,7,0,1007,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
41,two_participating_cells_local_consequence,7300000,6,reference,true,true,true,,1,0,6,10,0,8,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
41,two_participating_cells_local_consequence,7300000,6,production,true,true,true,,1,0,6,10,0,8,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
42,repeated_support_and_eventual_decay,7300000,6,reference,true,true,true,,2,1,11,17,0,81,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
42,repeated_support_and_eventual_decay,7300000,6,production,true,true,true,,2,1,11,17,0,81,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
43,participation_plus_local_modulation,7300000,7,reference,true,true,true,,1,1,6,9,0,49,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
43,participation_plus_local_modulation,7300000,7,production,true,true,true,,1,1,6,9,0,49,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
44,repeated_use_without_modulation,7300000,7,reference,true,true,true,,0,1,11,21,0,17,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
44,repeated_use_without_modulation,7300000,7,production,true,true,true,,0,1,11,21,0,17,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
45,unqualified_and_wrong_cell_modulation,7300000,7,reference,true,true,true,,0,0,4,7,0,9,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
45,unqualified_and_wrong_cell_modulation,7300000,7,production,true,true,true,,0,0,4,7,0,9,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
46,late_modulation_after_relaxation,7300000,7,reference,true,true,true,,0,0,4,7,0,1008,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
46,late_modulation_after_relaxation,7300000,7,production,true,true,true,,0,0,4,7,0,1008,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
47,two_participating_cells_local_consequence,7300000,7,reference,true,true,true,,1,0,6,10,0,9,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
47,two_participating_cells_local_consequence,7300000,7,production,true,true,true,,1,0,6,10,0,9,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
48,repeated_support_and_eventual_decay,7300000,7,reference,true,true,true,,2,1,11,17,0,82,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
48,repeated_support_and_eventual_decay,7300000,7,production,true,true,true,,2,1,11,17,0,82,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
49,participation_plus_local_modulation,7300000,8,reference,true,true,true,,1,1,6,9,0,50,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
49,participation_plus_local_modulation,7300000,8,production,true,true,true,,1,1,6,9,0,50,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
50,repeated_use_without_modulation,7300000,8,reference,true,true,true,,0,1,11,21,0,18,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
50,repeated_use_without_modulation,7300000,8,production,true,true,true,,0,1,11,21,0,18,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
51,unqualified_and_wrong_cell_modulation,7300000,8,reference,true,true,true,,0,0,4,7,0,10,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
