arm,root,mechanics,context,source_fires,context_trace_fires,babbler_fires,pairs_before,pairs_after,paired_proposals,positive_pairs,negative_pairs,gate_opportunities,gate_positive,gate_negative,gate_none,integration_closes,motor_material,action,modulatory,updates,used_pending,credit_returns,physical_work,physical_tick,quiescent,replay_exact,mechanics_exact,formation_pass,gate1_pass
W,93000004,replay,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000004,production,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000005,reference,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000005,replay,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000005,production,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000006,reference,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000006,replay,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000006,production,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000007,reference,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000007,replay,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
W,93000007,production,779,1,1,1,0,2,2,1,1,0,0,0,0,1,1:0:0|1:4294967296:4294967296|2:0:4294967296,none,0,0,0,8,70,3,true,true,true,true,false
G+W,93000000,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000000,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000000,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000001,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000001,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000001,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000002,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000002,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000002,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000003,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000003,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000003,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000004,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000004,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000004,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000005,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000005,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000005,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000006,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000006,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000006,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000007,reference,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000007,replay,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
G+W,93000007,production,779,1,1,1,0,2,2,1,1,1,1,0,3,0,1:0:0|1:4294967296:4294967296|2:4294967296:8589934592,1,0,0,0,1,65,4,true,true,true,true,true
