case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,partition_equal,target_fires,predicate_pass
76,4200000,5,phase_free_weak_lifetime,production,0@5:1/1/0/0/1;1@6:1/1/1/0/1;9@14:1/1/9/0/1;10@15:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,15,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
77,4200000,5,resistance_scales_lifetime,reference,0@5:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@14:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@15:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@24:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@25:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@44:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@45:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,45,49d5306fa1f70834e4c49872b7f3a4a4ad00af465127b2e92bbd01a1ed2f8b8b,1,1,0,1
77,4200000,5,resistance_scales_lifetime,production,0@5:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@14:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@15:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@24:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@25:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@44:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@45:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,45,49d5306fa1f70834e4c49872b7f3a4a4ad00af465127b2e92bbd01a1ed2f8b8b,1,1,0,1
78,4200000,5,traversal_cannot_alter_forgetting,reference,0@5:1/4/0/0/1|1/4/0/0/1;9@14:1/4/9/12571524225/1|1/4/9/0/1;39@44:1/1/9/1813536193/1|1/1/9/0/1;40@45:0/0/0/0/0|0/0/0/0/0,41d8a650f779d90851a817ef48ae8494271017db1a679e2461f5cc6a1bf40a17,10,8,0,0,0,2,0,45,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
78,4200000,5,traversal_cannot_alter_forgetting,production,0@5:1/4/0/0/1|1/4/0/0/1;9@14:1/4/9/12571524225/1|1/4/9/0/1;39@44:1/1/9/1813536193/1|1/1/9/0/1;40@45:0/0/0/0/0|0/0/0/0/0,41d8a650f779d90851a817ef48ae8494271017db1a679e2461f5cc6a1bf40a17,10,8,0,0,0,2,0,45,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
79,4200000,5,host_time_partition_invariance,reference,0@5:1/4/0/0/1;37@42:1/1/7/0/1;40@45:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,45,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
79,4200000,5,host_time_partition_invariance,production,0@5:1/4/0/0/1;37@42:1/1/7/0/1;40@45:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,45,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
80,4200000,5,local_death_blocks_stale_delivery,reference,0@5:1/1/0/0/1;15@20:0/0/0/0/0,d55086fc72853685dadba7e5c9fcbe985dd2833b9f377d4980f9d80f5a338e9d,2,1,0,0,0,1,0,20,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
80,4200000,5,local_death_blocks_stale_delivery,production,0@5:1/1/0/0/1;15@20:0/0/0/0/0,d55086fc72853685dadba7e5c9fcbe985dd2833b9f377d4980f9d80f5a338e9d,2,1,0,0,0,1,0,20,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
81,4200000,6,phase_free_weak_lifetime,reference,0@6:1/1/0/0/1;1@7:1/1/1/0/1;9@15:1/1/9/0/1;10@16:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,16,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
