profile,mechanics,index,context,stage,role,contact,arrow,coupling,resistance,participation
CORE1-A,production,0,779,after,outgoing,24577,24577,4294967296,3006477108,3774873600
CORE1-A,production,0,779,after,outgoing,24578,24579,-4294967296,3006477108,3774873600
CORE1-A,production,0,779,after,stem,24577,24576,4294967296,3006477108,3538944000
CORE1-A,production,0,779,after,stem,24578,24578,4294967296,3006477108,3538944000
CORE1-A,production,0,779,consequence,outgoing,18700,18700,4294967296,272300926567,3110400000
CORE1-A,production,0,779,consequence,outgoing,24577,24577,4294967296,1717986919,3110400000
CORE1-A,production,0,779,consequence,outgoing,24578,24579,-4294967296,1717986919,3110400000
CORE1-A,production,0,779,consequence,stem,24577,24576,4294967296,1717986919,2916000000
CORE1-A,production,0,779,consequence,stem,24578,24578,4294967296,1717986919,2916000000
CORE1-A,production,0,779,probe,outgoing,18700,18700,4294967296,267146965812,1433743821
CORE1-A,production,0,779,probe,outgoing,24599,24593,4294967296,3006477108,3774873600
CORE1-A,production,0,779,probe,outgoing,24600,24595,-4294967296,3006477108,3774873600
CORE1-A,production,0,779,probe,stem,24599,24592,4294967296,3006477108,3538944000
CORE1-A,production,0,779,probe,stem,24600,24594,4294967296,3006477108,3538944000
CORE1-A,production,1,34,before,outgoing,838,838,4294967296,274877906944,0
CORE1-A,production,1,34,after,outgoing,838,838,4294967296,272300926567,3774873600
CORE1-A,production,1,34,consequence,outgoing,838,838,4294967296,271012436378,3110400000
CORE1-A,production,1,34,probe,outgoing,838,838,4294967296,265858475623,1433743821
CORE1-A,production,2,980,before,outgoing,23530,23530,4294967296,274877906944,0
CORE1-A,production,2,980,after,outgoing,23530,23530,4294967296,271012436378,3774873600
CORE1-A,production,2,980,consequence,outgoing,23530,23530,4294967296,269723946189,3110400000
CORE1-A,production,2,980,probe,outgoing,23530,23530,4294967296,264569985434,1433743821
CORE1-A,production,3,430,before,outgoing,10336,10336,4294967296,274877906944,0
CORE1-A,production,3,430,after,outgoing,10336,10336,4294967296,269723946189,3774873600
CORE1-A,production,3,430,consequence,outgoing,10336,10336,4294967296,268435456000,3110400000
CORE1-A,production,3,430,probe,outgoing,10336,10336,4294967296,263281495245,1433743821
CORE1-A,production,3,430,probe,outgoing,24609,24585,4294967296,3006477108,3774873600
CORE1-A,production,3,430,probe,outgoing,24610,24587,-4294967296,3006477108,3774873600
CORE1-A,production,3,430,probe,stem,24609,24584,4294967296,3006477108,3538944000
CORE1-A,production,3,430,probe,stem,24610,24586,4294967296,3006477108,3538944000
CORE1-B,reference,0,779,before,outgoing,18700,18700,4294967296,274877906944,0
CORE1-B,reference,0,779,after,direct,none,24576,4294967296,3006477108,3538944000
CORE1-B,reference,0,779,after,direct,none,24577,-4294967296,3006477108,3538944000
CORE1-B,reference,0,779,after,outgoing,18696,24576,4294967296,3006477108,3538944000
CORE1-B,reference,0,779,after,outgoing,18696,24577,-4294967296,3006477108,3538944000
CORE1-B,reference,0,779,after,outgoing,18700,18700,4294967296,273589416756,3774873600
CORE1-B,reference,0,779,consequence,direct,none,24576,4294967296,1717986919,2916000000
CORE1-B,reference,0,779,consequence,direct,none,24577,-4294967296,1717986919,2916000000
CORE1-B,reference,0,779,consequence,outgoing,18696,24576,4294967296,1717986919,2916000000
CORE1-B,reference,0,779,consequence,outgoing,18696,24577,-4294967296,1717986919,2916000000
CORE1-B,reference,0,779,consequence,outgoing,18700,18700,4294967296,272300926567,3110400000
CORE1-B,reference,0,779,probe,direct,none,24584,4294967296,3006477108,3538944000
CORE1-B,reference,0,779,probe,direct,none,24585,-4294967296,3006477108,3538944000
CORE1-B,reference,0,779,probe,outgoing,18696,24584,4294967296,3006477108,3538944000
CORE1-B,reference,0,779,probe,outgoing,18696,24585,-4294967296,3006477108,3538944000
CORE1-B,reference,0,779,probe,outgoing,18700,18700,4294967296,267146965812,1433743821
CORE1-B,reference,1,34,before,outgoing,838,838,4294967296,274877906944,0
CORE1-B,reference,1,34,after,direct,none,24590,4294967296,3006477108,3538944000
CORE1-B,reference,1,34,after,direct,none,24591,-4294967296,3006477108,3538944000
CORE1-B,reference,1,34,after,outgoing,834,24590,4294967296,3006477108,3538944000
CORE1-B,reference,1,34,after,outgoing,834,24591,-4294967296,3006477108,3538944000
CORE1-B,reference,1,34,after,outgoing,838,838,4294967296,272300926567,3774873600
CORE1-B,reference,1,34,consequence,direct,none,24590,4294967296,1717986919,2916000000
CORE1-B,reference,1,34,consequence,direct,none,24591,-4294967296,1717986919,2916000000
CORE1-B,reference,1,34,consequence,outgoing,834,24590,4294967296,1717986919,2916000000
CORE1-B,reference,1,34,consequence,outgoing,834,24591,-4294967296,1717986919,2916000000
CORE1-B,reference,1,34,consequence,outgoing,838,838,4294967296,271012436378,3110400000
CORE1-B,reference,1,34,probe,direct,none,24598,4294967296,3006477108,3538944000
CORE1-B,reference,1,34,probe,direct,none,24599,-4294967296,3006477108,3538944000
CORE1-B,reference,1,34,probe,outgoing,834,24598,4294967296,3006477108,3538944000
CORE1-B,reference,1,34,probe,outgoing,834,24599,-4294967296,3006477108,3538944000
CORE1-B,reference,1,34,probe,outgoing,838,838,4294967296,265858475623,1433743821
CORE1-B,reference,2,980,before,outgoing,23530,23530,4294967296,274877906944,0
CORE1-B,reference,2,980,after,direct,none,24594,4294967296,3006477108,3538944000
CORE1-B,reference,2,980,after,direct,none,24595,-4294967296,3006477108,3538944000
CORE1-B,reference,2,980,after,outgoing,23526,24594,4294967296,3006477108,3538944000
CORE1-B,reference,2,980,after,outgoing,23526,24595,-4294967296,3006477108,3538944000
CORE1-B,reference,2,980,after,outgoing,23530,23530,4294967296,271012436378,3774873600
CORE1-B,reference,2,980,consequence,direct,none,24594,4294967296,1717986919,2916000000
CORE1-B,reference,2,980,consequence,direct,none,24595,-4294967296,1717986919,2916000000
CORE1-B,reference,2,980,consequence,outgoing,23526,24594,4294967296,1717986919,2916000000
CORE1-B,reference,2,980,consequence,outgoing,23526,24595,-4294967296,1717986919,2916000000
CORE1-B,reference,2,980,consequence,outgoing,23530,23530,4294967296,269723946189,3110400000
CORE1-B,reference,2,980,probe,direct,none,24602,4294967296,3006477108,3538944000
CORE1-B,reference,2,980,probe,direct,none,24603,-4294967296,3006477108,3538944000
CORE1-B,reference,2,980,probe,outgoing,23526,24602,4294967296,3006477108,3538944000
CORE1-B,reference,2,980,probe,outgoing,23526,24603,-4294967296,3006477108,3538944000
CORE1-B,reference,2,980,probe,outgoing,23530,23530,4294967296,264569985434,1433743821
CORE1-B,reference,3,430,before,outgoing,10336,10336,4294967296,274877906944,0
CORE1-B,reference,3,430,after,direct,none,24604,4294967296,3006477108,3538944000
CORE1-B,reference,3,430,after,direct,none,24605,-4294967296,3006477108,3538944000
CORE1-B,reference,3,430,after,outgoing,10332,24604,4294967296,3006477108,3538944000
CORE1-B,reference,3,430,after,outgoing,10332,24605,-4294967296,3006477108,3538944000
CORE1-B,reference,3,430,after,outgoing,10336,10336,4294967296,269723946189,3774873600
CORE1-B,reference,3,430,consequence,direct,none,24604,4294967296,1717986919,2916000000
CORE1-B,reference,3,430,consequence,direct,none,24605,-4294967296,1717986919,2916000000
