case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
151,gate_f_negative_consequence,7600001,2,production,true,true,true,,2,4,2,1,2,21,27,14,true,0e91583bf9cfe78f9828e5ee51fab9d6d2a80d71c59741bb4bb730ab6640da01,selected_sign=-1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
152,gate_g_permutation,7600001,2,reference,true,true,true,,2,4,2,1,2,21,27,14,true,d5864e525bc912a62d8e1d259b41e839481ace615c737bbbe17c54acdf323db0,selected_sign=1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
152,gate_g_permutation,7600001,2,production,true,true,true,,2,4,2,1,2,21,27,14,true,d5864e525bc912a62d8e1d259b41e839481ace615c737bbbe17c54acdf323db0,selected_sign=1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
153,gate_h_neither_useful,7600001,2,reference,true,true,true,,2,4,0,2,4,17,20,12,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)|neither_useful=true
153,gate_h_neither_useful,7600001,2,production,true,true,true,,2,4,0,2,4,17,20,12,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)|neither_useful=true
154,gate_h_both_useful,7600001,2,reference,true,true,true,,2,4,4,0,0,24,32,14,true,195436ebd9ed37fec0795be4123625af2bf3d37b7ebca01535557cfe267aec8b,resistances=[Some(4); Some(4); Some(4); Some(4)];cells=[Some(1); Some(1)];live10=(true; true; true)/(true; true; true);fires=1->2/1->2
154,gate_h_both_useful,7600001,2,production,true,true,true,,2,4,4,0,0,24,32,14,true,195436ebd9ed37fec0795be4123625af2bf3d37b7ebca01535557cfe267aec8b,resistances=[Some(4); Some(4); Some(4); Some(4)];cells=[Some(1); Some(1)];live10=(true; true; true)/(true; true; true);fires=1->2/1->2
155,gate_i_shared_contact_alias,7600001,2,reference,true,true,true,,0,0,3,0,0,9,12,12,true,c04c2c3672db83a60703fa4a973249ad3dc77f9c3de8adb48d1405a6aed8515b,shared_resistances=[Some(4); Some(4); Some(4)];contact=Some(1);live10=(true; true; true; true)
155,gate_i_shared_contact_alias,7600001,2,production,true,true,true,,0,0,3,0,0,9,12,12,true,c04c2c3672db83a60703fa4a973249ad3dc77f9c3de8adb48d1405a6aed8515b,shared_resistances=[Some(4); Some(4); Some(4)];contact=Some(1);live10=(true; true; true; true)
156,v2_anchor_identity_slot_permutation,7600001,2,reference,true,true,true,,2,4,2,1,2,21,27,14,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
156,v2_anchor_identity_slot_permutation,7600001,2,production,true,true,true,,2,4,2,1,2,21,27,14,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
157,v2_anchor_only_control,7600001,3,reference,true,true,true,,0,0,0,0,0,0,0,13,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
157,v2_anchor_only_control,7600001,3,production,true,true,true,,0,0,0,0,0,0,0,13,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
158,gate_a_sign_symmetry,7600001,3,reference,true,true,true,,2,4,0,0,0,11,14,5,true,421f97454c89b07637029215f354d353db4c0e8bcfb00494037812b3d2152717,negative=CellId(3)/CellSlot(3);positive=CellId(4)/CellSlot(4)
158,gate_a_sign_symmetry,7600001,3,production,true,true,true,,2,4,0,0,0,11,14,5,true,421f97454c89b07637029215f354d353db4c0e8bcfb00494037812b3d2152717,negative=CellId(3)/CellSlot(3);positive=CellId(4)/CellSlot(4)
159,gate_b_no_consequence,7600001,3,reference,true,true,true,,2,4,0,2,4,17,20,13,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)
159,gate_b_no_consequence,7600001,3,production,true,true,true,,2,4,0,2,4,17,20,13,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)
160,gate_c_bounded_creation,7600001,3,reference,true,true,true,,2,4,0,2,4,35,50,13,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,proposals=(2; 4)
160,gate_c_bounded_creation,7600001,3,production,true,true,true,,2,4,0,2,4,35,50,13,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,proposals=(2; 4)
161,gate_d_orphan_cleanup_reuse,7600001,3,reference,true,true,true,,2,4,0,2,4,17,20,13,true,c79f2dbbeb681e18ed05869b830e10f0f01a8ef5ed6f238e83f4e59e9e9eccd8,cell_slots=[CellSlot(3); CellSlot(4)]->[CellSlot(3); CellSlot(4)];arrow_slots=[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]->[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]
161,gate_d_orphan_cleanup_reuse,7600001,3,production,true,true,true,,2,4,0,2,4,17,20,13,true,c79f2dbbeb681e18ed05869b830e10f0f01a8ef5ed6f238e83f4e59e9e9eccd8,cell_slots=[CellSlot(3); CellSlot(4)]->[CellSlot(3); CellSlot(4)];arrow_slots=[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]->[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]
162,gate_e_positive_consequence,7600001,3,reference,true,true,true,,2,4,2,1,2,21,27,15,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
162,gate_e_positive_consequence,7600001,3,production,true,true,true,,2,4,2,1,2,21,27,15,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
163,gate_f_negative_consequence,7600001,3,reference,true,true,true,,2,4,2,1,2,21,27,15,true,0e91583bf9cfe78f9828e5ee51fab9d6d2a80d71c59741bb4bb730ab6640da01,selected_sign=-1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
